Scientific Name,Common Name,Family,Growth Habit,Duration,Bloom Time,Bloom Color,Water Use,Light Requirement,Drought Tolerance,Larval Host Count,Photo Count,LBJ URL,Source Rows
Abutilon fruticosum,"Indian Mallow, Texas Indian Mallow",Malvaceae,Subshrub,Perennial,"Jun , Jul , Aug , Sep , Oct","Orange , Yellow",Low,Sun,,1,6,https://www.wildflower.org/plants/result.php?id_plant=ABFR3,224
Acer grandidentatum,"Bigtooth Maple, Big-toothed Maple, Uvalde Bigtooth Maple, Southwestern Bigtooth Maple, Canyon Maple, Sabinal Maple, Western Sugar Maple",Not listed in spreadsheet,Tree,Perennial,"Mar , Apr","Yellow , Green",Medium,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=ACGR3,243
Acer negundo,Box Elder,Sapindaceae,Tree,Perennial,"Mar , Apr","Yellow , Green , Brown",Medium,Sun,High,1,7,https://www.wildflower.org/plants/result.php?id_plant=ACNE2,244
Achillea millefolium,"Common Yarrow, Western Yarrow, Yarrow, Milfoil",Not listed in spreadsheet,Herb,Perennial,"Apr , May , Jun , Jul , Aug , Sep","White , Pink",Medium,"Sun , Part Shade",High,0,6,https://www.wildflower.org/plants/result.php?id_plant=ACMI2,33
Acleisanthes obtusa,Berlandier's Trumpet,Not listed in spreadsheet,Vine,Perennial,"Apr , May , Jun , Jul , Aug , Sep , Oct , Nov","White , Pink",Low,"Sun , Part Shade",Medium,0,4,https://www.wildflower.org/plants/result.php?id_plant=ACOB2,294
Acmella oppositifolia var. repens,Spotflower,Not listed in spreadsheet,Herb,Perennial,"Jul , Aug , Sep , Oct , Nov","Orange , Yellow , Green",Medium,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=ACOPR,34
Acourtia runcinata,"Featherleaf Desertpeony, Peonia",Asteraceae,Herb,Perennial,"Jan , Feb , Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov , Dec","Pink , Purple",Low,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=ACRU3,35
Acourtia wrightii,"Brownfoot, Pink Perezia",Not listed in spreadsheet,Herb,Perennial,"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov","White , Pink",Low,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=ACWR5,36
Adiantum pedatum,Maidenhair Fern,Not listed in spreadsheet,Fern,Perennial,May–July,Not Applicable,Medium,"Part Shade , Shade",Low,0,6,https://www.wildflower.org/plants/result.php?id_plant=ADPE,2
Aesculus glabra,"Ohio Buckeye, Texas Buckeye, Fetid Buckeye, Horse Chestnut",Not listed in spreadsheet,Tree,Perennial,"Mar , Apr , May","Yellow , Green , Brown",Medium,"Sun , Part Shade , Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=AEGL,245
Aesculus pavia,"Red Buckeye, Scarlet Buckeye, Firecracker Plant",Sapindaceae,Tree,"Perennial Habit: Shrub , Tree Root Type: Tap Leaf Retention: Deciduous Leaf Arrangement: Opposite Leaf Complexity: Palmate Leaf Shape: Elliptic Leaf Venation: Pinnate Leaf Pubescence: Glabrous , Tomentose Leaf Margin: Crenate , Serrate Leaf Apex: Acuminate Breeding System: Flowers Unisexual , Monoecious Inflorescence: Thyrse Fruit Type: Capsule , Caryopsis Size Notes: 10-40 feet, Texas specimens usually on the short end of that range, with those in central Texas commonly no more than 15 feet. Leaf: Opposite , palmately compound , with 5, rarely 7, leaflets; leaflets elliptic to ovate , pointed at the tip, tapering to the base, toothed , green and smooth on the upper surface, paler and finely hairy on the lower surface, up to 6 inches long, up to 3 inches wide. Flower: Numerous, red, in large, loosely-flowered clusters nearly 1 foot long. Fruit: Capsules spherical, up to 2 inches across, light brown, not prickly, containing 1 or 2 light reddish brown seeds.","Mar , Apr , May","Red , Yellow","Medium , High",Part Shade,Medium,0,6,https://www.wildflower.org/plants/result.php?id_plant=AEPA,246
Agave americana,Blue Agave (Century Plant),Not listed in spreadsheet,Succulent,Perennial,"Jun , Jul",Yellow,Low,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=AGAM,233
Ageratina havanensis,"Shrubby Boneset, White Mistflower, White Shrub Mistflower, Havana Snakeroot",Asteraceae,Shrub,Perennial,"Apr , May , Jun , Jul , Sep , Oct , Nov , Dec","White , Pink",Low,"Sun , Part Shade",,1,6,https://www.wildflower.org/plants/result.php?id_plant=AGHA4,176
Aloysia gratissima,"Whitebrush, Bee-brush, White-brush, Common Bee-brush, Beebrush, Privet Lippia",Verbenaceae,Shrub,Perennial,"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov",White,Medium,"Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=ALGR2,177
Amorpha canescens,Leadplant,Not listed in spreadsheet,Shrub,Perennial,"Jun , Jul","Blue , Purple",Low,"Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=AMCA6,178
Amorpha fruticosa,"Indigo Bush, False Indigo Bush, False Indigo, Desert False Indigo",Not listed in spreadsheet,Shrub,Perennial,"Apr , May , Jun","Orange , Blue , Purple , Violet",Low,"Sun , Part Shade",,9,11,https://www.wildflower.org/plants/result.php?id_plant=AMFR,179
Amorpha roemeriana,"Texas Indigo Bush, Roemer's false indigo",Not listed in spreadsheet,Shrub,Perennial,Apr,Purple,Low,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=AMRO2,180
Amsonia ciliata,"Blue Amsonia, Fringed bluestar",Not listed in spreadsheet,Herb,Perennial,"Mar , Apr , May , Jun",Blue,Medium,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=AMCI,37
