Lepodoptera that use as Host Plant,Common Names,Genus,Latin Names Host Plants,Leopodoptera,
468,oak,Quercus,"Quercus buckleyi, Quercus fusiformis, Quercus laceyi, Quercus macrocarpa, Quercus marilandica, Quercus shumardii, Quercus sinuata, Quercus Stellata, Quercus virginiana",,
270,"beach plum, cherry, chokecherr ...",Prunus,"Prunus Caroliniana, Prunus mexicana, Prunus minutiflora, Prunus serotina, Prunus texana",,
229,willow,Salix,Salix nigra,,
189,"hickory, pecan, pignut, bitter ...",Carya,"Carya illinoinensis, Carya texana",,
183,"aspen, cottonwood, poplar",Populus,Populus deltoides,,
180,"maple, boxelder",Acer,"Acer negundo,",,
151,"cranberry, blueberry",Vaccinium,"Vaccinium arboreum, ",,
143,elm,Ulmus,"Ulmus americana, Ulmus crassifolia",,
116,"butternut, walnut",Juglans,"Juglans major, Juglans microcarpa, Juglans nigra",,
105,hawthorn,Crataegus,"Crataegus tracyi, Crataegus viridis",,
104,ash,Fraxinus,"Fraxinus albicans, Fraxinus berlandieriana, Fraxinus pennsylvanica ",,
101,"basswood, linden",Tilia,Tilia americana,,
100,"blackberry, dewberry, raspberr ...",Rubus,"Rubus aboriginum, Rubus trivialis",,
90,rose (Rosa foliolosa),Rosa,Rosa foliolosa,,
82,goldenrod,Solidago,"Solidago altissima, Solidago gigantea, Solidago nemoralis, Solidago petiolaris, Solidago radula",,
81,sunflower,Helianthus,"Helianthus debilis, Helianthus hirsutus, Helianthus maximiliani, Helianthus petiolaris, ",,
79,"dogwood, bunchberry",Cornus,Cornus drummondii,,
78,grape,Vitis,"Vitis cinerea, Vitis monticola, Vitis mustangensis, Vitis rupestris ",,
67,"arrowwood, viburnum, (Viburnum ...",Viburnum,Viburnum rufidulum,,
64,"locust, black locust, rose aca ...",Robinia,Robinia pseudocacia,,
58,"hackberry, sugar berry",Celtis,,,
55,sumac,Rhus,"Rhus aromatica, Rhus lanceolata, Rhus microphylla, Rhus virens",,
52,"acacia, wattle",Acacia,,,
48,persimmon,Diospyros,,,
46,"juniper, red cedar",Juniperus,"Juniperus ashei, Juniperus pinchotii, Juniperus virginiana",,
45,"honeylocust, gleditsia",Gleditsia,"Gleditsia triacanthos, ",,
42,"holly, inkberry, winterberry",Ilex,"Ilex decidua, Ilex vomitoria",,
41,"cow-itch vine, treebine, grape ivy",Cissus,Cissus trifoliata,,
39,sycamore,Platanus,Platanus occidentalis,,
